,Parm Code,Name
0,10073,Neph B sp-450 nm
1,10996,VoltNDIR
2,10998,3-Methyl-1-Butene And Cyclopentene (ppbV)
3,10999,2-Methylhexane And 2-3-Dimethylpentane
4,11068,NOZ
5,11069,Neph Zero Set
6,11070,Neph Span Set
7,11071,Neph RH
8,11072,Neph Cell Temp
9,11073,Neph B sp-520 nm
10,11074,Neph Air Temp
11,11075,Neph  Vis-km
12,11076,Neph  Vis-miles
13,11094,Hydrogen Sulfide + Sulfur Dioxide
14,11100,Total Suspended Particulate (Lc)
15,11101,Suspended Particulate (Tsp)
16,11103,Benzene Soluble Organics (Tsp)
17,11201,Soil Index (COH)
18,11203,Light Scatter
19,11302,Beta Radiation (Tsp)
20,12101,Aluminum (Tsp) Stp
21,12102,Antimony (Tsp) Stp
22,12103,Arsenic (Tsp) Stp
23,12107,Barium (Tsp) Stp
24,12110,Cadmium (Tsp) Stp
25,12111,Calcium (Tsp) Stp
26,12112,Chromium (Tsp) Stp
27,12113,Cobalt (Tsp) Stp
28,12114,Copper (Tsp) Stp
29,12115,Chromium VI (Tsp) Stp
30,12125,Germanium (Tsp) Stp
31,12126,Iron (Tsp) Stp
32,12128,Lead (Tsp) Stp
33,12132,Manganese (Tsp) Stp
34,12134,Molybdenum (Tsp) Stp
35,12136,Nickel (Tsp) Stp
36,12146,Lanthanum (Tsp) Stp
37,12152,Phosphorus (Tsp) Stp
38,12154,Selenium (Tsp) Stp
39,12160,Tin (Tsp) Stp
40,12161,Titanium (Tsp) Stp
41,12164,Vanadium (Tsp) Stp
42,12165,Silicon (Tsp) Stp
43,12167,Zinc (Tsp) Stp
44,12168,Strontium (Tsp) Stp
45,12169,Sulfur (Tsp) Stp
46,12173,Thallium (Tsp) Stp
47,12176,Rubidium (Tsp) Stp
48,12180,Potassium (Tsp) Stp
49,12183,Yttrium (Tsp) Stp
50,12185,Zirconium (Tsp) Stp
51,12201,Bromide (Tsp) Stp
52,12202,Fluoride (Tsp) Stp
53,12203,Chloride (Tsp) Stp
54,12204,Iodide (Tsp) Stp
55,12301,Ammonium (Tsp) Stp
56,12306,Nitrate (Tsp) Stp
57,12403,Sulfate (Tsp) Stp
58,14112,Chromium (Tsp) Lc
59,14129,Lead (Tsp) Lc Frm/Fem
60,14136,Nickel (Tsp) Lc
61,16521,Methyl Isoamyl Ketone
62,16732,"2,3,4,6-Tetrachlorophenol (Tsp) Stp"
63,16733,"2,4,5-Trichlorophenol (Tsp) Stp"
64,16734,"2,4,6-Trichlorophenol (Tsp) Stp"
65,16735,"2,4-Dichlorophenol (Tsp) Stp"
66,16739,"2,6-Dichlorophenol (Tsp) Stp"
67,16754,4-Chloro-3-Methylphenol  (Tsp) Stp
68,17141,Naphthalene (Tsp) Stp
69,17147,Acenaphthene (Tsp) Stp
70,17148,Acenaphthylene (Tsp) Stp
71,17149,Fluorene (Tsp) Stp
72,17150,Phenanthrene (Tsp) Stp
73,17151,Anthracene (Tsp) Stp
74,17201,Fluoranthene (Tsp) Stp
75,17204,Pyrene (Tsp) Stp
76,17208,Chrysene (Tsp) Stp
77,17215,Benzo[a]Anthracene (Tsp) Stp
78,17220,Benzo[b]Fluoranthene (Tsp) Stp
79,17223,Benzo[k]Fluoranthene (Tsp) Stp
80,17225,"Benzo[b,k]Fluoranthene (Tsp) Stp"
81,17231,"Dibenzo[a,h]Anthracene (Tsp) Stp"
82,17237,"Benzo[g,h,i]Perylene (Tsp) Stp"
83,17242,Benzo[a]Pyrene (Tsp) Stp
84,17243,"Indeno[1,2,3-cd]Pyrene (Tsp) Stp"
85,42101,Carbon Monoxide
86,42153,Carbon Disulfide
87,42269,Total Sulfur
88,42300,Water (Vapor)
89,42401,Sulfur Dioxide
90,42402,Hydrogen Sulfide
91,42600,Reactive Oxides Of Nitrogen (NOy)
92,42601,Nitric Oxide (NO)
93,42602,Nitrogen Dioxide (NO2)
94,42603,Oxides Of Nitrogen (NOX)
95,42605,Nitrous Oxide
96,43000,Sum of PAMS Target Compounds
97,43101,Total Hydrocarbons
98,43102,Total NMOC
99,43134,"1,1-bis(4-Chlorophenyl)-2,2-Dichloroethane"
