AQS Code	CAMS	TCEQ Region	Reg#	Site Name	Street Address	Activation Date	Owned By
480131090	1090	SAN ANTONIO	13	Von Ormy Highway 16	17534 North State Highway 16 	29-May-2020	TCEQ
480211612	1612	AUSTIN	11	CAPCOG Bastrop	25 American Legion Drive 	25-Feb-2019	Capital Area Council of Governments
480211613	1613	AUSTIN	11	CAPCOG Elgin	900 E 2nd Street 	25-Feb-2019	Capital Area Council of Governments
480271045	1045	WACO	09	Temple Georgia	8406 Georgia Avenue 	04-Oct-2013	TCEQ
480271047	1047	WACO	09	Killeen Skylark Field	1605 Stone Tree Drive 	11-Jun-2009	TCEQ
480290032	0023	SAN ANTONIO	13	San Antonio Northwest	6655 Bluebird Lane 	01-Jul-1981	TCEQ
480290052	0058	SAN ANTONIO	13	Camp Bullis	F Range (1000Yd marker off Wilderness Trail) Near Wilderness Rd	10-Aug-1998	TCEQ
480290055	0678	SAN ANTONIO	13	CPS Pecan Valley	802 Pecan Valley Drive 	11-Mar-1999	San Antonio City Public Services
480290059	0059	SAN ANTONIO	13	Calaveras Lake	14620 Laguna Rd 	12-May-1998	TCEQ
480290060	9999	SAN ANTONIO	13	Frank Wing Municipal Court	401 South Frio St 	18-May-2000	TCEQ
480290501	0501	SAN ANTONIO	13	Elm Creek Elementary	11535  Pearsall Rd 	17-Jun-2002	Alamo Area Council of Governments
480290502	0502	SAN ANTONIO	13	Fair Oaks Ranch	7286 Dietz Elkhorn Rd 	27-Jun-2002	Alamo Area Council of Governments
480290622	0622	SAN ANTONIO	13	Heritage Middle School	7145 Gardner Road 	29-Jul-2004	San Antonio City Public Services
480290623	0623	SAN ANTONIO	13	Gardner Rd. Gas Sub-Station	9599 Gardner Road 	28-Jun-2005	San Antonio City Public Services
480290625	0625	SAN ANTONIO	13	Gate 9A CPS	12941 Cassiano Road 	01-Jun-2005	San Antonio City Public Services
480290626	0626	SAN ANTONIO	13	Gate 58 CPS	1100 Hildebrandt 	01-Jun-2005	San Antonio City Public Services
480290677	0677	SAN ANTONIO	13	Old Hwy 90	911 Old Hwy 90 West 	09-Oct-2006	TCEQ
480291069	1069	SAN ANTONIO	13	San Antonio Interstate 35	9904 IH 35 N 	08-Jan-2014	TCEQ
480291087	1087	SAN ANTONIO	13	San Antonio Bulverde Parkway	3843 Bulverde Parkway 	05-Nov-2019	TCEQ
480291091	1091	SAN ANTONIO	13	San Antonio Red Hill Lane	2600 Red Hill Lane 	20-May-2020	TCEQ
480291097	1097	SAN ANTONIO	13	San Antonio Interstate 10 West	5821 Interstate 10 West 	31-Mar-2025	TCEQ
480291609	1609	SAN ANTONIO	13	Calaveras Lake Park	12965 Bernhardt Road 	09-Aug-2017	San Antonio City Public Services
480291610	1610	SAN ANTONIO	13	Government Canyon	12861 Galm Rd 	29-Aug-2017	Alamo Area Council of Governments
480371031	1031	TYLER	05	Texarkana New Boston	2700 New Boston Rd 	23-Mar-2016	TCEQ
480391003	0011	HOUSTON	12	Clute	426 Commerce Street 	01-Jan-1974	TCEQ
480391004	0084	HOUSTON	12	Manvel Croix Park	4503 Croix Pkwy 	23-Aug-2001	TCEQ
480391012	1012	HOUSTON	12	Freeport South Avenue I	207 South Avenue I 	25-May-2011	TCEQ
480391016	1016	HOUSTON	12	Lake Jackson	109B  Brazoria Hwy 332 West 	10-Jun-2003	TCEQ
480391607	1607	HOUSTON	12	Oyster Creek	901 County Road 792 	14-Dec-2016	Freeport LNG
480411086	1086	WACO	09	Bryan Finfeather Road	3670 Finfeather Road 	27-Feb-2020	TCEQ
480430101	0067, 0316, 0656, 0691	EL PASO	06	Bravo Big Bend	Big Bend National Park 	01-Oct-1990	National Park Service
480551604	1604	AUSTIN	11	Lockhart	214 Bufkin Lane 	24-Apr-2014	Capital Area Council of Governments
480611023	1023	HARLINGEN	15	Harlingen Teege	1602 W Teege Avenue 	09-Oct-2012	TCEQ
480611098	1098	HARLINGEN	15	Brownsville East 6th Street	85 East 6th Street 	05-Apr-2023	TCEQ
480612004	0323, 0667	HARLINGEN	15	Isla Blanca State Park Road	33174 State Park Road 100 	01-Aug-2005	TCEQ
480850005	0031, 0680	DALLAS/FORT WORTH	04	Frisco	6590 Hillcrest Road 	07-May-1992	TCEQ
480850009	1010	DALLAS/FORT WORTH	04	Frisco Eubanks	6601 Eubanks 	15-Jan-1995	TCEQ
480850029	9998	DALLAS/FORT WORTH	04	Frisco Stonebrook	7202 Stonebrook Parkway 	07-Jan-2011	TCEQ
480910503	0503	SAN ANTONIO	13	Bulverde Elementary	1715 E Ammann Road 	27-Aug-2002	Alamo Area Council of Governments
480910505	0505	SAN ANTONIO	13	City of Garden Ridge	21340 FM 3009 	25-Mar-2003	Alamo Area Council of Governments
480911088	1088	SAN ANTONIO	13	New Braunfels Oak Run Parkway	3350 Oak Run Parkway 	13-Oct-2019	TCEQ
480971504	1504	DALLAS/FORT WORTH	04	Gainesville Doss Street	1112 Doss Street 	01-Oct-2013	North Texas Commission
481130050	0312	DALLAS/FORT WORTH	04	Convention Center	717 South Akard 	01-Jan-1979	TCEQ
481130061	9997	DALLAS/FORT WORTH	04	Earhart	3434 Bickers (Earhart Elem School) 	01-Jan-2009	TCEQ
481130069	0060, 0161, 0401, 3002	DALLAS/FORT WORTH	04	Dallas Hinton	1415 Hinton Street 	01-Jan-1986	TCEQ
481130075	0063, 0679	DALLAS/FORT WORTH	04	Dallas North #2	12532 1/2 Nuestra Drive 	02-Nov-1998	TCEQ
481130087	0402	DALLAS/FORT WORTH	04	Dallas Redbird Airport Executive	3277 W Redbird Lane 	01-Jan-1995	TCEQ
481131067	1067	DALLAS/FORT WORTH	04	Dallas LBJ Freeway	8652 LBJ Freeway 	01-Apr-2014	TCEQ
