Unit Description,Unit Abbr,Unit Cd,Unit Type
Beta Light Scatter,Beta Scat,27,BetaLightScatter
"Coefficient of Haze per 1,000 linear feet.","COHS/1,000 Linear Ft",9,Soiling Index
CUBIC METER,m3,65,Volume
DEGREES CENTIGRADE,Deg C,17,Temp
DEGREES FAHRENHEIT,Deg F,15,Temp
"DEGREES, COMPASS",deg,14,CompassBearing
INCHES (RAINFALL),in. (rain),21,Length
Inverse of Micrograms per Cubic Meter,(ug/m3)-1,936,MassDensity
Inverse of Milligrams (of substance) per Kilogram (of human body mass) per Day,(mg/kg-day)-1,938,MassRatio
Inverse of Parts per Billion,ppb-1,935,VolRatio
KNOTS,Knots,13,Speed
LANGLEYS/MINUTE,Langy/min,25,Power/Area
Microgram,ug,77,Mass
Micrograms per Cubic Meter,ug/m3,933,MassDensity
MILES (VISIBILITY),mi,24,Length
MILES/HOUR,mph,12,Speed
MILLIBARS,Millibars,16,PressureAbs
Milligrams (of substance) per Kilogram (of human body mass) per Day,mg/kg-day,937,MassRatio
Milligrams per Cubic Meter,mg/m3,934,MassDensity
MILLIMETERS (MERCURY),mm (Hg),59,PressureAbs
MILLIMETERS (RAINFALL),mm (rain),29,Length
Millivolts,mv,902,Electric Potential
Minutes,Min,106,Elapse Time
Nanogram,ng,921,Mass
Nanograms,ng,125,Mass
NG/CU METER (25 C),ng/m3 (25 C),3,MassDensity
Parts per Billion,ppb,932,VolRatio
PARTS PER BILLION BY VOLUME,ppbv,8,VolRatio
PARTS PER BILLION CARBON,ppb C,78,CarbonVolRatio
PARTS PER MILLION BY VOLUME,ppmv,7,VolRatio
PARTS PER MILLION CARBON,ppm C,101,CarbonVolRatio
PERCENT,%,107,Number
PERCENT RELATIVE HUMIDITY,%RH,19,Relative Humidity
PICOCURIES/CU. METER,picocuries/m3,30,Radioactivity Density
UG/CU METER (25 C),ug/m3 (25 C),1,MassDensity
UG/CU Meter (LC),ug/m3 (LC),105,MassDensityLc
